ID,Language,Source_File,Text,Target,Gold_Valence,Predicted_Valence,Error_Valence,Gold_Arousal,Predicted_Arousal,Error_Arousal,Total_Error_Abs
13133:5_426,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Стоит все это ""удовольствие"" не дешево, сервис.... да, забыла напиать, что была еще живая музыка, правда музыкант откровенно фальшивил.",живая музыка,5.0,3.08,-1.92,2.67,6.63,3.96,5.88
15665:3_559,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Я заказывал себе фруктовый салат, довольно вкусно, хотя я больше люблю калорийную еду :).",фруктовый салат,5.0,7.13,2.13,3.0,6.73,3.7300000000000004,5.86
12582:4_373,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Зималетода аш-су бик начар түгел: яхшы һәм тәмле гриль-меню (бигрәк тә балык), салатикларның стандарт төрлелеге, суши һәм роллларның күплеге (иң тәмлеләре Гейша һәм пешерелгән Киото), лаеклы коктель картасы, тик менә лонг яхшы түгел, ә җиләк маргаритасын беркемгә дә киңәш итмим, җирәнгеч!",лонг,3.83,7.55,3.7199999999999998,4.83,6.93,2.0999999999999996,5.819999999999999
13451:4_441,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Я просто часто ходжу в ресторани і замовляю в основному шашлики (якщо є) і салат цезар, і мені є з чим порівняти, я скажу, що салат вартий своїх грошей, і шашлики теж, але бар трохи дорогий.",салат,5.17,7.31,2.1399999999999997,3.17,6.83,3.66,5.8
rest26_aspect_va_test_68,English,checkpoint-2520_eng_restaurant_test_task1.json,"Unfortunately , the waiter did sell the shrimp and grits with the additional crab as heaven in his mouth , but that it was not",shrimp and grits,1.88,5.7,3.8200000000000003,7.88,5.93,-1.9500000000000002,5.7700000000000005
rest26_aspect_va_test_951,English,checkpoint-2520_eng_restaurant_test_task1.json,my drink wasn't good at all this morning and when i told the lady it didn't look right she poured some out and just put more milk in it to make it taste better,lady,1.38,4.33,2.95,8.12,5.31,-2.8099999999999996,5.76
rest26_aspect_va_test_201,English,checkpoint-2520_eng_restaurant_test_task1.json,The falafels & pita = no flavor,falafels & pita,1.62,4.36,2.74,8.0,4.98,-3.0199999999999996,5.76
rest26_aspect_va_test_991,English,checkpoint-2520_eng_restaurant_test_task1.json,I'm being generous by giving this restaurant 2 stars,restaurant,2.17,7.11,4.94,7.67,6.86,-0.8099999999999996,5.75
rest26_aspect_va_test_378,English,checkpoint-2520_eng_restaurant_test_task1.json,I guess customer service is not important anymore,customer service,1.88,4.99,3.1100000000000003,7.62,5.01,-2.6100000000000003,5.720000000000001
lap26_aspect_va_test_271,English,checkpoint-2520_eng_laptop_test_task1.json,"My previous laptop was a huge Dell purchased in 2008 when I went to college ,  so getting this fast lightweight device at a fraction of the cost  ( like 12% )  was an amazing value",previous laptop,3.62,7.52,3.8999999999999995,5.5,7.32,1.8200000000000003,5.72
lap26_aspect_va_test_299,English,checkpoint-2520_eng_laptop_test_task1.json,"Acer hides under the guise of new and affordable computers ,  but they are new in the sense that the bugs are not worked out ,  making the obsolete computers a detriment for stable working conditions",new and affordable computers,2.0,5.81,3.8099999999999996,7.67,5.76,-1.9100000000000001,5.72
13451:1_439,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Интерьер ошады артыклыксыз барысы да җитди өслүбтә.,Интерьер,5.0,7.21,2.21,3.0,6.47,3.4699999999999998,5.68
36079:4_985,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Ну и для кого-то минус, а для меня плюс, хозяин заведения против алкоголя и в его заведениях он не продается принципиально.",алкоголя,6.0,2.84,-3.16,4.5,6.98,2.4800000000000004,5.640000000000001
lap26_aspect_va_test_954,English,checkpoint-2520_eng_laptop_test_task1.json,"I bought it because it was listed as new ,  when we received the computer the seal was already broken and it was already password protected with a personal picture on the log in screen",computer,1.75,5.02,3.2699999999999996,7.5,5.13,-2.37,5.64
34307:9_872,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"В это заведение мы раньше ходили с удовольствием, что случилось- непонятно.",заведение,2.25,7.13,4.88,7.75,7.02,-0.7300000000000004,5.61
rest26_aspect_va_test_260,English,checkpoint-2520_eng_restaurant_test_task1.json,This corporation/restaurant has no clue,corporation/restaurant,2.0,4.73,2.7300000000000004,7.62,4.75,-2.87,5.6000000000000005
rest26_aspect_va_test_245,English,checkpoint-2520_eng_restaurant_test_task1.json,Service ranges from okay to worst on the face of the planet,Service,1.75,4.89,3.1399999999999997,7.88,5.42,-2.46,5.6
rest26_aspect_va_test_613,English,checkpoint-2520_eng_restaurant_test_task1.json,"Until the management here shows some leadership and sets some higher expectations of their service and kitchen staff , I would avoid this place",kitchen staff,1.88,4.76,2.88,7.88,5.18,-2.7,5.58
34956:7_917,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Расстройство принесла информация о том, что котлетки из лосося и креветок хотят убрать из меняю(.",котлетки из лосося и креветок,8.0,2.96,-5.04,7.5,6.99,-0.5099999999999998,5.55
15855:5_592,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Меню игътибарга лаек.,Меню,5.33,7.29,1.96,3.17,6.75,3.58,5.54
rest26_aspect_va_test_135,English,checkpoint-2520_eng_restaurant_test_task1.json,I stopped ina two occassions for a sit down dinner and came away very stisfied and full,sit down dinner,8.0,4.43,-3.5700000000000003,7.5,5.56,-1.9400000000000004,5.510000000000001
rest26_aspect_va_test_815,English,checkpoint-2520_eng_restaurant_test_task1.json,"After trying twice unsuccessfully to get there early enough to get a meal within 20 minutes , I finally was able to break away from work and was 5th in line",line,8.25,5.27,-2.9800000000000004,8.0,5.48,-2.5199999999999996,5.5
rest26_aspect_va_test_580,English,checkpoint-2520_eng_restaurant_test_task1.json,Let me note that this waitress is giving the customers at the 3 tables surrounding us WAY better customer service,waitress,1.83,6.59,4.76,8.0,7.27,-0.7300000000000004,5.49
rest26_aspect_va_test_885,English,checkpoint-2520_eng_restaurant_test_task1.json,"The manager experience wasn't the greatest , but I wasn't going to pay for that meal after the feather thing , and she comped everything",meal,2.25,5.48,3.2300000000000004,7.62,5.41,-2.21,5.44
rest26_aspect_va_test_613,English,checkpoint-2520_eng_restaurant_test_task1.json,"Until the management here shows some leadership and sets some higher expectations of their service and kitchen staff , I would avoid this place",service,1.88,4.62,2.74,7.88,5.22,-2.66,5.4
rest26_aspect_va_test_18,English,checkpoint-2520_eng_restaurant_test_task1.json,"The restaurant boasts vegetarian and *gasp* vegan dishes , but someone needs to tell them that cheese doesn't fit into either of those categories",restaurant,2.0,6.19,4.19,7.12,5.95,-1.17,5.36
rest26_aspect_va_test_625,English,checkpoint-2520_eng_restaurant_test_task1.json,The service is also very spotty,service,2.62,7.37,4.75,6.62,7.23,0.6100000000000003,5.36
rest26_aspect_va_test_889,English,checkpoint-2520_eng_restaurant_test_task1.json,"My boyfriend and I both decided to try Jesse's for the first time after we'd both grown up in the Brandon area and neither of us had ever been , and really hadn't heard much about the restaurant",Jesse's,5.2,7.21,2.01,3.4,6.74,3.3400000000000003,5.35
15336:24_536,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Сервис 1 ( а то и ноль.),Сервис,1.17,2.82,1.65,8.84,5.19,-3.6499999999999995,5.299999999999999
rest26_aspect_va_test_935,English,checkpoint-2520_eng_restaurant_test_task1.json,Breakfast was where this place failed,Breakfast,2.12,4.79,2.67,7.62,5.01,-2.6100000000000003,5.28
13693:0_458,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Поехали в это заведение поужинать опираясь на неплохие отзывы на различных сайтах.,заведение,5.0,6.52,1.5199999999999996,2.0,5.72,3.7199999999999998,5.239999999999999
rest26_aspect_va_test_156,English,checkpoint-2520_eng_restaurant_test_task1.json,The food/snacks were great and the portions generous but of course the alcohol is the star,alcohol,8.25,5.77,-2.4800000000000004,8.38,5.64,-2.740000000000001,5.2200000000000015
rest26_aspect_va_test_718,English,checkpoint-2520_eng_restaurant_test_task1.json,"All in all , the beer knowledge is not up to par for a place that advertises as a burger joint with a large craft beer selection ( 30 taps )",beer knowledge,1.83,4.3,2.4699999999999998,7.83,5.08,-2.75,5.22
10855:5_230,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Музыка из динамиков сначала просто оглушала, потом ничего - привыкли.",Музыка,2.0,5.44,3.4400000000000004,7.5,5.73,-1.7699999999999996,5.21
10903:0_240,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Сегодня, компанией из трех человек были в данном заведении, кстати так и не определился кафе это или ресторан, с одной стороны идея с ""окном в кухню"" просто отличная и вроде как идея явно для ресторана, с другой стороны места довольно мало (""некурящий зал с видом на кухню"" и ""курящий"", а в ""курящем"" зале полностью отсутствует вытяжка, я даже себе представил, что будет, если там соберется несколько компаний и плотно так закурят, придется открывать окно из которого кстати, очень дует - к уюту сразу!",окном в кухню,5.5,7.36,1.8600000000000003,3.67,7.02,3.3499999999999996,5.21
34196:6_853,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Честно говоря, приготовленные блюда по вкусу чень похожи на блюда в ресторанах Тайланда, хотя мясной стейк немного не удался.",блюда,8.0,4.91,-3.09,7.0,4.89,-2.1100000000000003,5.2
1542:0_84,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Это место оставило двоякое мнение.,место,4.67,3.12,-1.5499999999999998,3.0,6.64,3.6399999999999997,5.1899999999999995
10903:5_245,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"По обслуживанию: Молодо, не опытно :), но весьма доброжелательно, меня такое обслуживание устраивает вполне, большего и не требовалось.",обслуживанию,4.75,6.86,2.1100000000000003,3.25,6.3,3.05,5.16
354:14_24,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Друг замовив пиво, харчо і лагман, в результаті частину лагмана він не доїв, хоча поїсти він дуже любить:).",лагман,7.75,3.92,-3.83,7.25,5.94,-1.3099999999999996,5.14
rest26_aspect_va_test_212,English,checkpoint-2520_eng_restaurant_test_task1.json,Their sandwiches are basic and lack any real flavor,sandwiches,2.25,4.97,2.7199999999999998,7.38,4.97,-2.41,5.13
lap26_aspect_va_test_370,English,checkpoint-2520_eng_laptop_test_task1.json,"This is a lemon ,  like too many of Apple's other products these days",Apple's,2.17,5.28,3.1100000000000003,7.33,5.32,-2.01,5.12
rest26_aspect_va_test_239,English,checkpoint-2520_eng_restaurant_test_task1.json,"What you make can barely be called pizza , period",pizza,1.88,5.23,3.3500000000000005,7.25,5.49,-1.7599999999999998,5.11
10195:12_174,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Обслуживание спокойное, больше сказать сложно, так как я была практически одна.",Обслуживание,5.17,6.99,1.8200000000000003,3.17,6.46,3.29,5.11
lap26_aspect_va_test_849,English,checkpoint-2520_eng_laptop_test_task1.json,Not unless it has the reputation of a Lenovo Thinkpad - and even then you're still stuck with an unreliable operating system by Microsoft,Lenovo Thinkpad,7.25,4.21,-3.04,7.38,5.32,-2.0599999999999996,5.1
rest26_aspect_va_test_304,English,checkpoint-2520_eng_restaurant_test_task1.json,Tried their Pumpkin Seasonal Beer and it's on par with some of my favorite pumpkins,Pumpkin Seasonal Beer,8.12,5.65,-2.469999999999999,7.88,5.25,-2.63,5.099999999999999
lap26_aspect_va_test_641,English,checkpoint-2520_eng_laptop_test_task1.json,If you really want to save your battery power it's best to just turn the Chromebook off,Chromebook,2.38,5.12,2.74,7.38,5.05,-2.33,5.07
rest26_aspect_va_test_827,English,checkpoint-2520_eng_restaurant_test_task1.json,"So , 40 minutes and no food , we walked to the register and asked if we could pay for our beverages and our waitress said our food was almost ready",40 minutes,1.25,3.4,2.15,8.5,5.58,-2.92,5.07
15336:26_537,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Рекомендація: Навчіть персонал працювати хоча б нормально!,персонал,2.0,6.08,4.08,7.33,6.37,-0.96,5.04
35790:1_957,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Довольны кухней, сервисом, обстановкой и ценами.",обстановкой,7.5,4.53,-2.9699999999999998,7.0,4.94,-2.0599999999999996,5.029999999999999
12913:9_405,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Өстәлдән артыгын нәкъ сезнең официант кына түгел, ә теләсә кайсы башка кеше дә алып куя.",официант,8.0,4.02,-3.9800000000000004,7.25,6.21,-1.04,5.0200000000000005
12582:7_375,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Единственный минус этого заведения - это обслуживание: девушки на хостес с отсутствующим взглядом, воображают себя хозяйками заведения, официантов много, а толку мало.",официантов,1.0,3.96,2.96,8.5,6.45,-2.05,5.01
rest26_aspect_va_test_190,English,checkpoint-2520_eng_restaurant_test_task1.json,Perfect place to goif you like waiting 20 minutes at the counter and getting dirty looks from the waiters while you're waiting for service,place,2.88,7.46,4.58,7.0,7.42,0.41999999999999993,5.0
10287:0_175,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Отличное место, очень вкусно готовят, огромные порции, мы одно горячее заказали на четверых(!) и то не смогли доесть..",горячее,7.5,3.09,-4.41,7.0,7.59,0.5899999999999999,5.0
lap26_aspect_va_test_29,English,checkpoint-2520_eng_laptop_test_task1.json,Wasted space that would have made this an AMAZING chromebook,chromebook,3.5,7.29,3.79,6.25,7.45,1.2000000000000002,4.99
lap26_aspect_va_test_947,English,checkpoint-2520_eng_laptop_test_task1.json,"Nothing from Acer has ever worked for me ,  but because of the cool-looking new laptop and 5-star reviews ,  I was duped into thinking they'd improved their shoddy ,  cheap trash",Acer,1.9,5.05,3.15,7.5,5.66,-1.8399999999999999,4.99
36205:14_1003,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Лосось просто таял во рту, салат Цезарь вообще вне всяких похвал!",салат Цезарь,8.33,3.5,-4.83,7.67,7.83,0.16000000000000014,4.99
32744:4_698,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"после того как мы сели прошло 10 минут и нам перенесли меню, чему мама очень обрадовалась, очень быстро выбрали что будем есть и стали ждать официанта, при входе стояла девушка хостес, которая очень мило разговаривала по телефону со своей подружкой, все официанты пробегали мимо нас, на робкие слова, девушка/молодой человек можно вас?",девушка хостес,3.0,7.19,4.19,6.0,6.8,0.7999999999999998,4.99
lap26_aspect_va_test_935,English,checkpoint-2520_eng_laptop_test_task1.json,"After I came home from work around 11PM last night ,  the HP driver might have crashed the ASUS ROG laptop on day 3 of owning the laptop and now it's stuck on a black screen that says ""ASUS in search of incredible""",ASUS in search of incredible,3.62,5.26,1.6399999999999997,3.75,7.08,3.33,4.97
rest26_aspect_va_test_648,English,checkpoint-2520_eng_restaurant_test_task1.json,"I would/should be giving it 2 stars based on the food alone , however , the service was so good to warrant a full star on that alone- & I evaluate a place based not only on the food but on the entire experience",food,2.83,6.34,3.51,6.67,5.22,-1.4500000000000002,4.96
lap26_aspect_va_test_213,English,checkpoint-2520_eng_laptop_test_task1.json,"While I really dislike retiring a perfectly good Acer R11 ,  this Chromebook is pretty neat so far",Acer R11,8.25,5.15,-3.0999999999999996,7.62,5.81,-1.8100000000000005,4.91
lap26_aspect_va_test_20,English,checkpoint-2520_eng_laptop_test_task1.json,I use it for my classes and I love how windows runs on it BUT THEN I go to set up the other computer and it didn’t have a WiFi card or anything,the other computer,2.0,4.83,2.83,7.5,5.43,-2.0700000000000003,4.9
rest26_aspect_va_test_595,English,checkpoint-2520_eng_restaurant_test_task1.json,"I'm not the biggest breakfast potatoes fan , but these were great and I appreciated that they didn't clearly just scoop some food from a huge pile of pre-cooked home fries",potatoes,3.0,7.25,4.25,6.62,7.23,0.6100000000000003,4.86
lap26_aspect_va_test_486,English,checkpoint-2520_eng_laptop_test_task1.json,"And like I said ,  that screen can make up for a lot of minor shortcomings",screen,7.25,4.63,-2.62,7.5,5.27,-2.2300000000000004,4.8500000000000005
rest26_aspect_va_test_635,English,checkpoint-2520_eng_restaurant_test_task1.json,"There was lots of lettuce and tomato , a scoop of a white rice ( not spanish rice ) and there was supposed to be mozzarella cheese in it but couldn't taste or see it",mozzarella cheese,2.33,4.74,2.41,7.33,4.89,-2.4400000000000004,4.8500000000000005
36381:6_1024,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Обслуживающего персонала было явно больше, чем гостей.",Обслуживающего персонала,2.75,5.1,2.3499999999999996,7.75,5.25,-2.5,4.85
15824:9_581,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Зал для курящих отдельно, потому это никак не напрягало.",Зал для курящих,5.0,6.47,1.4699999999999998,2.0,5.37,3.37,4.84
rest26_aspect_va_test_955,English,checkpoint-2520_eng_restaurant_test_task1.json,This pizzeria is new to the area so I was actually pretty stoked to check them out and unfortunately my first experience is not what I expected,pizzeria,3.0,7.11,4.11,6.33,7.05,0.7199999999999998,4.83
10915:1_246,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Администратор-кассир-гардеробщица (бер йөздә) әле елмая иде.,Администратор-кассир-гардеробщица,5.25,6.97,1.7199999999999998,3.25,6.33,3.08,4.8
rest26_aspect_va_test_632,English,checkpoint-2520_eng_restaurant_test_task1.json,Never have i wanted to send back everything i ordered at a restaurant before this night,restaurant,2.17,4.91,2.74,7.5,5.44,-2.0599999999999996,4.8
12435:5_349,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Заказав в качестве аперитива бокал белого вина,получила его теплым и неохлажденным и мой бокал унесли в холодильник...кто-то пил,а я ждала своего бокала, попросив для бизнес-ланча хлебную тарелку, официант сказал, что нам в качестве бонуса при заказе вина дадут брускеты и мы стали ждать…но к тому времени уже остыл заказанный борщ,который кстати был невкусным .",белого вина,2.62,6.83,4.21,6.58,6.01,-0.5700000000000003,4.78
lap26_aspect_va_test_223,English,checkpoint-2520_eng_laptop_test_task1.json,"it looks great ,  and probably would have worked great ,  had Dell not released this product before they fixed all the glitches",Dell,2.38,5.85,3.4699999999999998,7.12,5.81,-1.3100000000000005,4.78
lap26_aspect_va_test_506,English,checkpoint-2520_eng_laptop_test_task1.json,and the fan was always on and very loud,fan,1.88,4.32,2.4400000000000004,7.88,5.55,-2.33,4.7700000000000005
